holistic,text
68.93194444,1.644480991
29.21666667,1.395049814
65.55,1.54712405
74.27916667,1.639946315
51.34166667,1.589132836
72.66666667,1.550175643
61.71666667,1.592018981
72.77222222,1.466762524
66.40138889,1.608600285
59.05,1.634068111
66.1125,1.635495086
62.71666667,1.439142812
57.2,1.667914685
60.27222222,1.60214451
62.07380952,1.632826063
57.75634921,1.639901135
63.95555556,1.664221554
47.79305556,1.521655666
52.49444444,1.500683135
80.93095238,1.590150594
44.15,1.531151406
84.82222222,1.717962873
51.10555556,1.673709389
68.71031746,1.567856402
72.75555556,1.670540232
77.57777778,1.70831404
71.77222222,1.585369771
54.07083333,1.58850809
62.01527778,1.535650621
71.7,1.565895503
72.16111111,1.695434458
76.43888889,1.570004169
70.81388889,1.691535072
68.60555556,1.667475964
37.96111111,1.491763386
71.43888889,1.586299273
78.23888889,1.647494391
64.32777778,1.70059592
49.66111111,1.496544874
54.6,1.511187392
67.85555556,1.64786001
58.75555556,1.533952599
70.175,1.597638229
70.82777778,1.676286938
74.05,1.612896573
68.22460317,1.647055943
54.21666667,1.504808603
63.56111111,1.693071012
61.23888889,1.551116583
71.96666667,1.615155771
67.51527778,1.512984217
72.28710317,1.635687824
68.60555556,1.60175274
61.55,1.636788097
62.25555556,1.549987393
61.22361111,1.632398624
75.55694444,1.620527338
16.32777778,1.459988511
63.26388889,1.539195098
80.05,1.646390307
41.2781746,1.536649147
71.64444444,1.615037913
72.55,1.615252102
54.59444444,1.496453203
71.93333333,1.569319675
70.66666667,1.651633418
66.82777778,1.621171207
40.21666667,1.480936201
67.09444444,1.63491832
70.05,1.540382239
58.72460317,1.617509079
60.1452381,1.605185367
66.93888889,1.604589625
18.43194444,1.288701786
68.82083333,1.571988299
32.63888889,1.462014449
85.20138889,1.702293447
50.73650794,1.725858235
58.76031746,1.443249207
74.28888889,1.719833974
81.95972222,1.761360121
47.90714286,1.343050711
57.68888889,1.521398337
71.93888889,1.561642051
62.85138889,1.430934565
78.16805556,1.705096361
51.18888889,1.293401883
76.50138889,1.791871808
72.18888889,1.681279658
39.56388889,1.404558405
21.00138889,1.220056169
72.12638889,1.603485492
74.89027778,1.714056842
47.66111111,1.403230548
64.65138889,1.488695544
76.86746032,1.721262368
51.10138889,1.421913909
34.12638889,1.197169127
80.33888889,1.728282875
67.94583333,1.543677997
72.76031746,1.657664187
27.09861111,1.255604193
72.88888889,1.739746676
15.83888889,1.100760609
80.96388889,1.623824027
74.42103175,1.524643332
84.09960317,1.642456473
72.82083333,1.537375601
72.93194444,1.652685574
62.66031746,1.461716232
70.93888889,1.664995326
79.56388889,1.660032822
42.79305556,1.447496583
63.85138889,1.574153971
86.31388889,1.64248292
69.81388889,1.608701317
23.47638889,1.257517379
80.73055556,1.639440249
13.96388889,1.123359158
75.18888889,1.626322379
63.83888889,1.631055021
73.75138889,1.654738856
13.18194444,1.171786591
74.02638889,1.659102423
72.76388889,1.650001684
67.01924603,1.590263264
72.80496032,1.66472841
71.81388889,1.677282501
75.3406746,1.563626198
54.71666667,1.474426838
86.72222222,1.726038143
47.35555556,1.729501886
58.12638889,1.47559491
77.06388889,1.72085434
71.18888889,1.764118178
52.14722222,1.381914078
48.77222222,1.517780069
53.00138889,1.539481505
51.05555556,1.452083248
79.05,1.70687315
75.24444444,1.35158487
78.89424603,1.782780094
75.49444444,1.711152928
33.56111111,1.367529436
54.8625,1.375188083
69.02460317,1.616774812
69.77222222,1.720544886
46.28611111,1.411504764
38.2,1.455092904
73.27222222,1.728552078
52.53611111,1.431452185
65.08472222,1.361173657
73.43888889,1.741429803
67.46666667,1.592549134
67.23253968,1.653722333
15.77222222,1.185949143
66.43888889,1.756085473
33.45555556,1.288070784
80.87777778,1.616012068
61.93888889,1.522352237
84.08174603,1.649713066
73.82777778,1.505841627
73.32777778,1.666667556
71.28888889,1.476151421
65.06388889,1.708355431
82.19583333,1.608804556
54.7375,1.426262826
73.32777778,1.564720956
86.4875,1.631899613
63.0281746,1.583388216
50.4,1.373018518
78.08472222,1.610581348
40.90555556,1.272838686
81.54603175,1.626722463
65.92222222,1.633557136
72.25138889,1.636790902
29.99444444,1.213305755
77.41111111,1.675363567
63.88333333,1.627905121
61.2781746,1.597654945
75.86746032,1.665000726
74.41111111,1.672155986
73.17698413,1.593599049
55.48333333,1.608010166
58.33472222,1.74951631
68.93888889,1.553694866
66.14027778,1.705608848
52.74444444,1.729149901
63.31388889,1.439995928
62.3,1.55006951
72.9875,1.614115617
73.21666667,1.518471068
59.88333333,1.588781594
59.78015873,1.560335591
51.39424603,1.736604177
58.28809524,1.585589871
71.82777778,1.55422886
64.97063492,1.513948839
66.46666667,1.624246574
66.10555556,1.690666964
71.14027778,1.556311012
76.32083333,1.553920522
53.99444444,1.702684174
60.81388889,1.548545106
49.09166667,1.530558135
66.37638889,1.65237165
73.93194444,1.607406582
66.18888889,1.634994463
70.48333333,1.488085227
60.73888889,1.72204356
68.27916667,1.575028144
75.20555556,1.539115532
74.38333333,1.571887311
63.23253968,1.600209272
65.95277778,1.512646994
62.55,1.652897306
69.10555556,1.546194632
60.48055556,1.602761344
54.10555556,1.510399862
69.18888889,1.516150661
70.00138889,1.548587378
62.39722222,1.576126877
62.42301587,1.652593775
58.89444444,1.540175629
69.84166667,1.59746438
57.10555556,1.537130274
75.36746032,1.568290565
44.16111111,1.529213399
57.75634921,1.549507752
65.98055556,1.540626987
66.27222222,1.624473031
69.10555556,1.621024252
69.47857143,1.584830584
56.08472222,1.616393327
64.36111111,1.611281836
82.43888889,1.689912303
58.11031746,1.687824573
55.25,1.444019236
75.88888889,1.662052436
84.40555556,1.715948612
67.38333333,1.496110577
25.07638889,1.478951363
77.02638889,1.572254816
75.18888889,1.519127588
79.46666667,1.639746602
63.03611111,1.463595925
81.89424603,1.747530093
79.59444444,1.667031599
11.93888889,1.40903845
55.88888889,1.479697579
81.51746032,1.624121854
76.63888889,1.680049317
70.70555556,1.508974013
23.53888889,1.464688145
81.07222222,1.691937847
48.38888889,1.419295597
57.72638889,1.49566925
80.93888889,1.707570214
78.13333333,1.581967114
73.10555556,1.630578869
51.13888889,1.465714565
78.46746032,1.695549589
46.73888889,1.429291074
81.38888889,1.613684932
81.40138889,1.514396352
81.4547619,1.628369156
36.74444444,1.510697211
79.51111111,1.660543389
40.20138889,1.412435043
76.55138889,1.6294805
82.22638889,1.630848319
48.44444444,1.466852997
78.78888889,1.546390388
84.21388889,1.621183543
69.70277778,1.557977661
60.48888889,1.490428548
84.62777778,1.632488134
42.03888889,1.402826766
81.13888889,1.619101454
72.73888889,1.622586414
75.37638889,1.629996077
35.34444444,1.432526585
77.78888889,1.633129853
76.43888889,1.594146058
61.76031746,1.570846808
74.82777778,1.61654063
